Serial,wave,Resp_AGERES,yearRES,monthRES,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q6_1,Q6_2,Q6_3,Q6_4,Q6_96,Q7,Q8,Q8_OthRES,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q15_OthRES,Q16,Q16_OthRES,Q17,Q18,Q19,Q20,Q21,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q23,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,Q27,Q28,Q29,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q31,Q32,Q33,Q34_1,Q34_2,Q35,Q36,Q37_1,Q37_2,Q37_3,Q37_4,Q37_5,Q37_6,Q37_7,Q37_8,Q37_9,Q37_10,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q39,Q40_1,Q40_2,Q40_3,Q40_4,Q40_5,Q41,Q42,Q43,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q45,Q46,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q49_OthRES,Q50,Q51RES,Q52RES,Q53RES,Q53_Oth,Q55,Q55_OthRES,Q56,Q56_OthRES,Q57_1,Q57_2,Q57_3,Q57_4,Q57_5,Q57_6,Q57_97,Q58RES,GCCSA_2021RES,W1,Gender_sdc,AGE_sdc,education_sdc,state_sdc,StateMap
274,1,9999,9999,9999,3,4,2,4,2,3,3,3,2,3,1,4,1,0,0,0,0,0,0, , , , , ,1,2,9999,3,2,3,2,5,1,1,9999,2,9999,1,1,1,6,2,0,1,1,0,0,0,0,3,3,5,4,4,6,2,2,5,5,2,3,3,2,2,2,2,2,2,3,1,2,3,2,9,5,3,3,2,2,3,3,3,3,2,2,1,2,3,3,3,3,5,2,2,2,2,2,3,1,2,3,2,3,4,3,3,4,4,2,2,1,98,1,98,98,1,9999,6,9999,9999,9999,18,3,9999,1,9999,0,0,1,0,0,0,0,9999,9999,3.99999999113013,-97,2,7,4,4
275,1,9999,9999,9999,1,4,2,1,1,1,1,2,4,3,3,4,0,1,0,0,0,0,0,0,1,0,0,0,8,96,9999,3,1,1,3,10,1,96,9999,3,9999,1,1,1,3,2,0,0,0,0,0,0,1,5,3,7,0,8,0,0,0,0,0,4,1,1,1,2,1,1,1,1,5,3,3,5,1,2,6,2,2,98,2,2,2,2,2,2,2,2,3,1,5,3,5,10,1,4,1,1,2,1,1,2,1,5,1,5,1,1,5,3,5,4,1,98,2,1,2,1,9999,6,9999,9999,9999,44,1,9999,1,9999,0,0,0,0,0,0,1,9999,9999,1.46377992605777,1,6,4,1,1
277,1,9999,9999,9999,3,2,2,2,2,2,2,2,2,2,2,3,1,0,0,0,0,0,0, , , , , ,8,3,9999,2,2,1,3,5,1,3,9999,3,9999,1,1,4,3,1,1,0,0,0,0,0,0,5,1,5,5,2,0,5,0,0,0,3,1,1,2,2,1,1,1,1,5,1,1,5,1,9,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,0,1,1,1,1,1,3,1,1,1,3,1,1,3,1,1,1,4,1,1,1,1,1,98,1,9999,5,9999,9999,9999,17,1,9999,1,9999,0,0,0,0,0,0,1,9999,9999,.420991213010812,2,4,2,1,1
278,1,9999,9999,9999,2,2,2,2,1,2,3,3,2,3,4,4,1,0,0,0,0,0,0, , , , , ,6,3,9999,2,2,2,2,6,1,3,9999,3,9999,2,2,1,3,1,0,0,0,1,0,0,0,3,2,4,2,7,5,5,1,5,5,2,3,3,2,2,2,2,1,1,3,2,3,3,2,5,9,3,1,3,3,1,1,1,2,3,3,3,3,2,2,4,3,4,1,1,1,1,1,4,1,1,4,1,2,3,2,1,1,1,5,2,1,98,98,1,98,1,9999,6,9999,9999,9999,18,5,9999,1,9999,0,0,0,1,0,0,0,9999,9999,.517179285513314,2,7,3,1,1
279,1,9999,9999,9999,2,4,2,4,2,2,2,4,4,2,3,4,0,1,0,0,0,0,0,0,1,0,0,0,3,2,9999,2,1,6,2,3,1,97,9999,97,9999,97,97,6,2,1,1,0,0,0,0,0,0,3,2,3,8,0,8,7,0,5,5,4,1,2,1,1,1,1,1,1,5,1,5,3,2,5,9,3,1,98,1,3,1,3,3,3,3,2,3,1,2,2,1,0,1,1,1,1,1,5,1,1,3,1,3,3,4,1,1,1,3,2,2,98,2,98,98,1,9999,5,9999,9999,9999,16,2,9999,1,9999,1,0,0,0,0,0,0,9999,9999,.483704364397959,2,3,7,3,3
280,1,9999,9999,9999,1,3,3,3,1,3,3,4,4,4,4,4,1,0,0,0,0,0,0, , , , , ,1,97,9999,2,1,4,2,8,1,4,9999,4,9999,1,1,1,4,2,0,0,0,0,1,0,0,5,5,0,0,0,9,0,0,0,8,3,1,2,2,2,2,2,2,2,5,5,5,5,1,5,9,98,98,98,98,98,98,98,98,98,98,1,3,1,1,3,1,0,1,1,1,1,1,5,1,1,1,1,1,1,4,1,3,1,3,1,98,98,98,98,98,98,9999,6,9999,9999,9999,16,7,9999,97,9999,0,0,0,0,1,0,0,9999,9999,3.51217401395138,2,-97,1,6,6
281,1,9999,9999,9999,2,2,2,3,2,2,2,3,3,4,4,4,1,0,0,0,0,0,0, , , , , ,3,97,9999,1,1,2,2,7,1,96,9999,96,9999,1,1,2,1,2,0,1,0,0,0,0,0,4,3,7,5,6,5,3,1,7,5,2,1,2,1,1,1,2,1,1,5,3,2,3,2,9,2,2,2,3,1,3,1,1,2,2,2,3,2,2,1,2,1,1,1,1,1,2,2,3,3,4,3,4,1,3,2,3,3,2,4,4,1,1,2,98,2,1,9999,3,9999,9999,9999,17,7,9999,1,9999,0,0,0,0,0,0,1,9999,9999,.420991213010812,2,4,4,1,1
282,1,9999,9999,9999,2,3,3,3,3,3,2,3,4,4,4,4,0,0,1,0,0,0,0,1,0,0,0,0,1,4,9999,2,2,2,2,0,1,4,9999,4,9999,1,1,1,2,1,1,0,0,0,0,0,0,5,3,0,5,0,10,5,0,5,5,3,1,2,2,2,2,2,1,1,5,1,2,4,2,9,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,4,2,2,2,4,2,2,2,3,1,1,1,1,1,98,1,9999,5,9999,9999,9999,17,1,9999,1,9999,0,0,0,0,0,0,1,9999,9999,1.48598162006858,2,2,3,3,3
283,1,9999,9999,9999,1,3,2,2,1,1,2,3,4,2,3,3,0,0,1,0,1,1,0,1,1,1,1,0,1,2,9999,2,1,4,3,3,1,2,9999,2,9999,1,1,6,2,1,1,0,0,0,0,0,0,2,4,3,10,6,7,5,4,5,5,3,3,3,1,1,2,1,2,2,3,2,1,4,1,4,9,1,3,1,2,2,3,1,2,1,2,2,3,2,2,2,3,7,1,1,1,1,1,1,2,2,2,2,2,3,1,3,2,5,5,1,98,1,1,1,98,1,9999,4,9999,9999,9999,17,2,9999,1,9999,0,0,0,0,0,0,1,9999,9999,.594221137752306,2,5,7,3,3
284,1,9999,9999,9999,3,2,2,2,2,3,3,3,2,2,4,4,1,0,0,0,0,0,0, , , , , ,1,1,9999,2,2,97,2,5,2, ,9999, ,9999, , , , , , , , , , , , ,2,2,5,5,5,5,5,5,5,5,2,2,4,2,2,2,1,2,2,5,1,2,1,4,9,4,1,2,2,2,2,2,2,1,1,1,1,3,1,2,2,2,0,1,1,1,1,1,5,1,2,1,1,1,2,1,1,1,1,5,1,1,2,2,1,2,1,9999,6,9999,9999,9999,17,4,9999,97,9999,0,0,0,0,0,0,1,9999,9999,3.66050604354953,1,2,6,1,1
285,1,9999,9999,9999,3,3,3,4,4,3,3,4,4,2,4,4,0,0,0,0,1,0,0,1,0,0,0,0,1,2,9999,1,1,1,2,8,1,2,9999,2,9999,97,97,1,2,1,1,0,0,0,0,0,0,4,1,0,10,5,5,9,0,5,5,3,2,3,2,2,1,1,1,1,3,1,1,5,1,9,5,98,98,1,98,1,98,98,1,1,1,3,2,3,2,1,1,1,1,1,1,3,1,4,1,2,2,1,3,4,1,1,1,5,5,1,1,98,1,1,2,1,9999,6,9999,9999,9999,16,96,9999,1,9999,0,0,0,1,0,0,0,9999,9999,.517179285513314,2,6,5,1,1
287,1,9999,9999,9999,4,4,2,3,4,3,3,4,4,4,4,4,1,0,0,0,0,0,0, , , , , ,1,97,9999,3,2,97,4,5,1,97,9999,97,9999,97,97,1,6,3,0,0,0,0,0,0,1,5,1,5,5,5,5,5,5,5,5,2,1,3,2,2,2,2,2,2,3,3,3,3,3,8,5,98,98,98,98,98,98,98,98,98,98,5,3,1,2,2,1,0,2,2,2,1,1,4,98,3,4,4,2,3,4,4,2,2,3,2,1,2,1,98,2,98,9999,1,9999,9999,9999,18,1,9999,1,9999,0,0,0,0,0,0,1,9999,9999,.42258750620558,2,-97,5,2,2
288,1,9999,9999,9999,2,2,2,3,3,2,3,4,4,4,4,4,1,0,0,0,0,0,0, , , , , ,2,2,9999,2,1,1,2,6,1,2,9999,2,9999,1,2,6,2,2,1,0,0,0,0,0,0,5,3,0,8,0,0,6,0,1,0,2,1,1,2,2,1,1,1,1,5,5,5,4,3,9,6,3,1,1,98,98,3,1,98,3,3,1,5,2,1,3,1,0,1,1,1,1,1,1,1,4,1,2,1,3,1,1,2,3,5,1,1,1,98,98,98,1,9999,5,9999,9999,9999,15,3,9999,1,9999,1,0,1,0,0,0,0,9999,9999,1.46377992605777,1,6,6,1,1
289,1,9999,9999,9999,2,1,1,3,2,2,2,2,3,2,4,4,0,0,1,0,0,0,0,0,0,1,0,0,8,97,9999,2,1,3,2,6,1,1,9999,1,9999,1,2,6,1,1,1,0,0,0,0,0,0,4,3,7,3,5,0,1,6,0,0,2,3,1,1,1,2,1,1,1,2,4,4,1,1,9,5,98,2,2,2,2,2,98,98,2,2,3,3,2,3,3,2,0,1,2,2,2,1,3,3,4,2,4,2,4,1,4,4,4,5,2,98,1,2,2,2,1,9999,1,9999,9999,9999,17,5,9999,1,9999,0,0,1,0,0,0,0,9999,9999,1.46377992605777,1,6,6,1,1
290,1,9999,9999,9999,2,3,3,3,3,2,3,4,4,4,4,4,0,0,1,0,0,0,0,0,0,0,0,1,1,97,9999,3,2,97,1,10,2, ,9999, ,9999, , , , , , , , , , , , ,5,1,5,5,5,5,0,5,5,5,2,3,3,2,2,2,2,2,2,3,3,3,3,3,9,5,98,98,98,98,98,98,98,98,98,98,5,3,3,3,3,3,0,1,1,1,1,1,5,1,1,3,3,4,4,4,2,1,1,5,1,1,1,1,98,98,1,9999,1,9999,9999,9999, ,7,9999,97,9999,1,0,0,0,1,0,0,9999,9999,.658550233570008,2,3,6,3,3
291,1,9999,9999,9999,3,3,3,3,3,3,3,4,4,4,4,4,1,0,0,0,0,0,0, , , , , ,1,97,9999,3,2,6,2,5,1,1,9999,96,9999,2,2,6,5,1,0,0,0,0,0,1,0,5,3,5,0,0,0,1,0,1,1,3,1,2,2,2,2,2,2,2,4,4,4,3,2,9,3,98,98,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,4,3,4,3,5,1,3,1,5,1,1,5,3,98,98,98,98,98,98,9999,1,9999,9999,9999,12,7,9999,1,9999,0,0,1,0,0,0,0,9999,9999,.517179285513314,2,6,6,1,1
293,1,9999,9999,9999,2,2,1,2,1,2,2,2,2,2,2,2,0,1,1,0,0,0,0,0,1,0,0,0,4,3,9999,2,2,2,2,5,1,3,9999,3,9999,5,2,3,3,1,0,0,1,0,0,0,0,5,4,5,6,4,6,7,7,6,6,4,1,1,1,2,2,1,1,1,2,5,5,4,4,9,8,3,2,3,3,3,3,2,3,2,3,3,5,1,1,1,1,0,1,2,2,1,2,4,1,3,1,4,2,1,2,1,1,1,5,2,98,1,2,98,1,1,9999,1,9999,9999,9999,17,7,9999,97,9999,1,0,0,0,1,0,0,9999,9999,1.19153744922383,1,4,6,1,1
294,1,9999,9999,9999,2,2,2,2,1,2,3,4,4,4,4,4,1,0,0,0,0,0,0, , , , , ,1,97,9999,1,1,1,1,0,1,97,9999,97,9999,97,97,6,6,3,0,0,0,0,0,0,1,5,5,10,0,0,0,10,0,0,0,1,1,1,2,2,2,2,2,2,1,1,1,1,1,9,3,98,98,98,98,98,98,98,98,98,98,5,5,5,5,2,5,10,1,1,1,1,1,1,3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,9999,1,9999,9999,9999,12,3,9999,97,9999,0,0,0,0,0,0,1,9999,9999,1.29332139792263,2,2,1,1,1
295,1,9999,9999,9999,4,4,4,4,4,4,3,3,3,4,3,4,0,1,0,0,1,1,1,1,1,0,1,0,8,97,9999,3,3,6,2,5,1,4,9999,4,9999,1,2,1,3,1,0,0,0,0,0,1,0,3,5,5,5,5,5,5,5,5,5,3,1,1,2,2,1,1,2,1,5,5,5,5,3,3,9,98,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,5,1,1,1,3,1,5,1,1,2,2,2,3,3,1,3,3,3,3,98,1,98,98,98,98,9999,6,9999,9999,9999,18,1,9999,1,9999,0,1,0,0,0,0,0,9999,9999,.575341306382114,2,3,5,2,2
296,1,9999,9999,9999,3,3,3,3,4,3,3,4,4,4,4,4,0,0,0,0,1,0,0,0,1,0,0,0,1,97,9999,3,2,6,2,5,1,2,9999,2,9999,1,2,1,2,1,1,0,0,0,0,0,0,3,3,5,7,5,5,5,5,5,5,2,3,3,2,2,2,2,2,2,3,1,1,2,2,9,5,1,1,98,98,1,98,98,98,1,98,3,3,3,1,3,3,4,1,2,2,2,2,2,1,1,3,3,2,4,3,3,3,4,3,2,98,98,1,98,98,1,9999,5,9999,9999,9999,17,2,9999,1,9999,0,0,0,0,0,0,1,9999,9999,.658550233570008,2,3,7,3,3
298,1,9999,9999,9999,1,3,3,2,1,1,1,1,2,1,1,4,0,0,1,1,1,0,1,1,1,0,1,1,8,2,9999,1,1,1,2,1,1,4,9999,4,9999,1,2,3,2,1,1,0,0,0,0,0,0,2,1,0,7,0,7,7,0,0,8,2,3,3,1,1,1,1,1,1,2,1,1,4,1,9,5,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,1,5,1,1,1,1,1,5,1,1,5,1,3,2,3,1,1,1,3,1,1,2,2,2,2,1,9999,6,9999,9999,9999,17,1,9999,1,9999,0,0,0,0,0,0,1,9999,9999,2.03558078601587,1,-97,6,4,4
299,1,9999,9999,9999,1,4,2,2,1,1,1,1,1,4,4,4,1,0,0,0,0,0,0, , , , , ,4,4,9999,2,1,1,2,0,1,4,9999,4,9999,1,2,1,6,4,0,0,0,0,0,0,1,2,5,0,5,0,10,5,0,0,10,2,2,2,2,2,1,2,1,1,4,1,1,3,1,5,3,1,98,1,3,3,1,1,98,3,98,5,5,1,1,5,1,0,1,1,1,1,1,5,1,1,5,1,4,5,5,3,2,1,2,1,1,2,2,98,1,1,9999,5,9999,9999,9999,17,2,9999,1,9999,0,0,0,0,0,0,1,9999,9999,.659337489456807,2,1,1,-97, 
300,1,9999,9999,9999,3,3,3,2,3,3,2,3,3,3,4,4,0,0,1,1,1,1,1,1,1,0,0,0,1,2,9999,2,1,1,2,5,1,2,9999,2,9999,1,2,2,2,1,1,0,0,0,0,0,0,4,4,5,8,5,5,4,0,5,5,4,2,2,2,2,2,2,2,2,3,5,3,3,2,9,4,1,1,1,1,1,98,1,2,2,98,2,3,2,1,3,1,0,1,1,1,1,1,3,1,2,2,3,2,2,3,2,1,2,3,1,1,98,1,98,2,1,9999,6,9999,9999,9999,16,1,9999,1,9999,0,0,0,0,0,0,1,9999,9999,.719206622372254,2,4,7,5,5
301,1,9999,9999,9999,2,1,2,3,2,1,1,2,3,4,4,4,0,0,0,0,1,0,0,0,0,0,0,1,8,1,9999,2,1,2,2,5,1,1,9999,1,9999,2,2,4,1,2,0,0,1,1,0,0,0,4,3,8,0,8,0,0,5,2,0,2,2,2,2,2,2,1,2,2,4,1,3,5,1,9,5,2,1,1,1,2,1,1,2,2,2,1,2,3,4,3,5,4,1,1,1,2,1,5,98,1,1,2,1,1,4,4,1,2,4,1,1,2,1,2,2,1,9999,4,9999,9999,9999,18,7,9999,1,9999,0,1,0,0,0,0,0,9999,9999,.292202037911615,2,2,-97,8,8
302,1,9999,9999,9999,1,3,1,2,1,1,2,2,1,2,3,3,0,0,1,1,1,1,1,1,1,0,1,0,8,4,9999,1,1,2,2,0,1,4,9999,4,9999,2,2,5,4,1,1,0,0,0,0,0,0,4,2,0,6,0,10,6,0,0,10,3,2,2,2,2,1,1,1,1,3,1,1,4,1,4,9,98,1,1,98,1,1,98,98,98,98,3,2,2,2,2,2,2,1,1,1,1,1,3,1,1,1,2,3,3,4,1,1,1,4,1,1,2,1,98,98,1,9999,6,9999,9999,9999,18,4,9999,1,9999,0,0,0,0,0,0,1,9999,9999,2.20946491398101,2,2,1,4,4
303,1,9999,9999,9999,1,3,1,2,1,1,2,3,4,3,4,4,0,0,1,0,0,0,0,1,1,1,0,0,6,2,9999,2,1,2,1,7,1,2,9999,2,9999,2,2,1,2,1,1,0,0,0,0,0,0,1,1,8,10,0,7,10,0,5,5,2,3,4,2,2,2,1,2,2,2,1,1,2,1,9,5,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,3,1,1,1,2,2,1,2,1,2,3,3,2,2,2,3,2,2,4,1,1,1,98,1,2,1,9999,5,9999,9999,9999,18,1,9999,1,9999,0,0,0,0,0,0,1,9999,9999,.483704364397959,2,4,3,3,3
304,1,9999,9999,9999,2,2,3,2,1,1,1,2,3,2,4,4,0,0,1,0,0,0,0,1,0,0,0,0,4,2,9999,2,1,1,2,5,1,2,9999,2,9999,3,2,3,2,2,0,0,0,0,0,1,0,4,2,2,8,5,7,9,0,9,5,2,1,2,2,1,1,2,1,1,3,1,1,1,1,8,5,1,1,1,3,1,1,3,1,1,3,1,2,1,1,2,1,1,1,1,1,1,1,5,2,2,2,1,2,5,3,1,3,1,4,3,98,1,1,98,98,1,9999,5,9999,9999,9999,17,7,9999,1,9999,1,1,0,0,1,0,0,9999,9999,1.46377992605777,1,5,-97,1,1
305,1,9999,9999,9999,2,2,2,2,2,1,1,3,2,3,3,4,0,0,0,0,1,0,0,1,0,0,0,0,8,96,9999,2,1,1,1,5,1,96,9999,97,9999,1,1,6,3,2,0,0,0,0,0,1,0,5,4,6,0,5,0,0,7,6,5,4,1,1,1,1,2,2,1,1,5,4,1,4,1,9,5,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,0,2,3,2,1,3,1,2,4,1,1,1,5,1,1,3,4,5,3,1,98,1,98,98,1,9999,4,9999,9999,9999, ,96,9999,1,9999,0,0,0,0,1,0,0,9999,9999,1.68183258194057,1,5,-97,3,3
307,1,9999,9999,9999,4,3,4,4,4,3,4,4,4,4,4,4,1,0,0,0,0,0,0, , , , , ,8,97,9999,3,3,97,4,0,1,97,9999,97,9999,97,97,1,6,4,0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,4,4,5,2,2,2,2,2,2,5,5,5,5,3,5,9,98,98,98,98,98,98,98,98,98,98,5,5,5,5,5,5,10,4,4,4,4,4,3,1,1,5,5,5,5,5,5,5,5,5,2,98,98,98,98,98,98,9999,6,9999,9999,9999,16,7,9999,97,9999,1,0,0,0,1,0,0,9999,9999,.658550233570008,2,3,7,3,3
308,1,9999,9999,9999,2,2,2,2,2,2,3,4,4,4,4,4,1,0,0,0,0,0,0, , , , , ,1,97,9999,3,3,97,2,2,1,97,9999,97,9999,97,97,1,6,3,0,0,0,0,0,0,1,5,5,1,1,1,1,1,5,1,1,4,1,1,2,2,2,2,1,1,2,5,3,3,3,9,7,98,98,98,98,98,98,98,98,98,98,5,3,3,3,3,3,5,3,2,2,2,2,3,98,2,3,3,2,3,3,3,3,5,3,1,98,98,98,98,98,98,9999,4,9999,9999,9999, ,5,9999,97,9999,0,0,0,0,1,0,0,9999,9999,.420991213010812,2,4,-97,1,1
309,1,9999,9999,9999,2,3,3,3,3,3,2,4,4,4,4,4,0,0,0,0,0,1,0,1,1,1,1,1,1,97,9999,1,1,2,2,5,1,96,9999,96,9999,1,2,6,5,2,1,0,0,0,0,0,0,5,4,0,0,0,0,5,0,0,0,4,1,1,1,1,2,2,2,2,5,5,4,3,3,9,5,3,3,3,3,3,3,3,3,3,3,1,3,1,1,3,2,5,1,3,1,3,1,3,2,2,3,2,3,3,3,2,2,2,5,4,2,2,2,2,1,1,9999,6,9999,9999,9999,17,2,9999,1,9999,0,0,0,0,0,0,1,9999,9999,.517179285513314,2,6,5,1,1
310,1,9999,9999,9999,4,1,2,1,1,2,3,2,3,3,3,4,1,0,0,0,0,0,0, , , , , ,2,2,9999,3,2,1,4,10,1,2,9999,2,9999,1,97,1,2,1,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,4,1,1,2,2,2,2,1,1,5,5,5,5,5,9,5,1,1,1,1,1,1,98,98,98,98,1,3,1,1,1,1,0,1,1,1,1,1,4,1,2,3,2,2,3,4,1,1,3,1,2,98,98,98,98,98,98,9999,5,9999,9999,9999, ,7,9999,1,9999,1,0,0,0,0,0,0,9999,9999,.573167996952564,2,3,5,1,1
311,1,9999,9999,9999,1,4,2,2,1,1,1,1,1,1,3,4,1,0,0,0,0,0,0, , , , , ,8,2,9999,1,1,1,2,0,1,2,9999,2,9999,1,2,5,2,1,1,0,0,0,0,0,0,1,1,0,10,0,10,10,0,0,10,2,3,3,2,2,1,2,1,1,3,1,1,3,1,5,6,1,1,1,1,1,1,1,1,1,1,2,5,1,1,5,1,0,1,1,1,1,1,5,1,1,5,1,3,1,5,1,1,1,2,1,1,2,1,1,2,98,9999,6,9999,9999,9999,21,1,9999,1,9999,0,0,0,0,0,0,1,9999,9999,.573167996952564,2,3,2,1,1
312,1,9999,9999,9999,2,1,1,1,1,1,1,2,3,3,3,4,0,0,1,0,0,0,1,1,0,1,1,0,8,2,9999,1,1,1,2,10,1,2,9999,4,9999,2,2,1,2,1,0,0,0,0,1,0,0,4,3,0,7,0,10,8,0,0,10,2,2,2,1,1,1,1,1,1,4,1,2,4,1,9,4,1,1,1,1,1,1,1,1,1,98,4,4,2,3,4,2,2,1,1,1,1,1,5,1,1,1,1,1,1,2,1,1,1,4,1,1,1,2,1,98,1,9999,6,9999,9999,9999,15,1,9999,1,9999,0,0,0,0,0,0,1,9999,9999,.883530951714599,2,5,-97,4,4
313,1,9999,9999,9999,2,2,2,2,2,2,1,4,3,3,2,3,0,0,1,0,0,0,0,0,0,0,1,0,1,4,9999,2,2,6,2,5,1,4,9999,4,9999,97,97,5,4,1,1,0,0,0,0,0,0,5,5,5,5,5,10,4,0,4,4,3,2,3,1,2,2,1,1,1,4,4,1,3,3,5,9,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,5,1,2,2,1,1,3,2,1,1,3,3,3,3,5,1,5,3,3,98,98,98,98,98,98,9999,4,9999,9999,9999,17,4,9999,97,9999,0,0,1,0,0,0,0,9999,9999,.658550233570008,2,3,7,3,3
314,1,9999,9999,9999,3,2,1,2,1,2,1,3,3,3,4,4,0,0,1,0,0,0,0,1,1,1,0,0,2,2,9999,3,1,4,1,6,1,2,9999,4,9999,3,2,1,2,1,1,0,0,0,0,0,0,3,4,3,7,1,6,7,0,6,7,3,1,3,2,2,2,1,1,1,3,1,2,4,1,5,3,1,1,2,1,1,1,1,2,2,1,4,2,2,2,2,3,5,1,2,1,2,1,3,1,2,1,4,1,3,3,1,3,4,3,1,1,98,1,98,1,1,9999,6,9999,9999,9999,17,2,9999,1,9999,0,0,0,0,0,0,1,9999,9999,.979180102577431,2,2,-97,5,5
315,1,9999,9999,9999,2,2,1,2,1,2,2,2,3,4,4,4,1,0,0,0,0,0,0, , , , , ,3,2,9999,3,1,6,2,5,1,2,9999,4,9999,1,2,5,4,1,1,0,0,0,0,0,0,5,3,5,5,5,7,5,0,5,5,3,1,1,2,2,2,1,2,2,5,1,1,5,1,9,5,98,98,98,98,98,98,98,98,98,98,5,2,1,1,1,1,0,1,1,1,1,1,1,1,2,1,5,1,2,1,1,1,1,5,1,98,98,98,98,98,98,9999,6,9999,9999,9999,19,1,9999,1,9999,0,0,0,0,0,0,1,9999,9999,.573167996952564,2,2,7,1,1
316,1,9999,9999,9999,3,3,2,2,3,2,2,4,2,3,3,4,1,0,0,0,0,0,0, , , , , ,2,1,9999,3,1,4,3,4,1,1,9999,3,9999,1,1,6,5,1,0,0,0,0,0,1,0,5,4,5,5,4,5,5,2,1,5,2,3,2,2,2,2,1,2,2,5,1,3,1,1,2,9,3,2,3,2,3,2,3,3,1,2,1,3,2,1,1,1,0,1,1,1,2,1,5,1,3,2,3,2,4,1,3,2,3,5,2,98,1,1,1,2,1,9999,6,9999,9999,9999,21,96,9999,1,9999,0,0,0,0,1,0,0,9999,9999,1.46377992605777,1,5,6,1,1
317,1,9999,9999,9999,2,4,4,2,2,1,1,3,3,2,4,4,1,0,0,0,0,0,0, , , , , ,1,2,9999,2,1,5,2,5,1,2,9999,2,9999,1,2,3,2,1,1,0,0,0,0,0,0,3,3,0,7,0,8,6,0,5,5,2,1,1,2,2,1,2,1,1,4,1,1,2,1,5,9,1,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1,5,1,1,1,2,1,5,1,1,5,3,1,3,5,1,1,5,3,1,98,98,98,98,98,98,9999,6,9999,9999,9999,16,1,9999,1,9999,0,0,0,0,0,0,1,9999,9999,.719206622372254,2,4,-97,4,4
318,1,9999,9999,9999,2,2,2,2,3,2,2,3,2,3,4,4,0,0,1,0,0,1,1,1,1,1,1,1,6,1,9999,2,1,4,3,6,1,1,9999,1,9999,1,2,1,1,1,0,0,0,0,0,1,0,4,3,10,0,0,5,5,0,0,3,3,1,2,2,2,2,1,1,2,3,2,1,4,2,9,5,2,2,2,2,2,3,3,2,2,2,2,3,2,2,3,3,2,1,2,1,2,2,3,1,2,4,2,3,3,3,2,2,3,3,2,1,2,2,1,98,98,9999,5,9999,9999,9999,18,2,9999,1,9999,1,0,0,0,0,0,0,9999,9999,.573167996952564,2,3,7,1,1
319,1,9999,9999,9999,3,3,3,3,3,2,3,3,2,2,4,4,1,0,0,0,0,0,0, , , , , ,2,2,9999,3,2,5,1,5,1,2,9999,2,9999,1,2,1,2,1,1,0,0,0,0,0,0,4,3,5,10,5,0,5,0,5,5,3,2,3,2,2,2,2,1,1,3,3,3,3,2,7,5,1,3,1,1,1,3,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,3,1,98,1,3,3,2,3,3,2,2,4,5,2,98,98,98,98,98,98,9999,5,9999,9999,9999, ,1,9999,1,9999,0,0,0,0,0,0,1,9999,9999,1.86390414156605,1,-97,7,3,3
322,1,9999,9999,9999,2,4,2,2,2,2,2,2,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,1,8,97,9999,3,2,97,4,7,3, ,9999, ,9999, , , , , , , , , , , , ,4,3,1,1,5,5,5,5,5,5,4,1,1,2,2,2,2,2,2,2,2,3,3,4,9,5,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2,2,5,1,1,1,1,1,1,2,1,3,2,3,3,2,4,3,3,3,3,1,98,2,98,98,98,9999,1,9999,9999,9999,16,7,9999,1,9999,0,0,0,1,0,0,0,9999,9999,.883530951714599,2,6,-97,5,5
